163567.000,209339.000,0.798,1184996.000,211.000,5618.000,37.800
382383.000,190268.000,0.809,3155070.000,44.000,71446.000,30.200
97833.000,208833.000,0.805,637026.000,7.000,73922.000,31.000
610623.000,474486.000,0.770,822441.000,14.900,57924.000,44.700
234618.000,64287.000,0.698,4796580.000,65.000,73289.000,74.700
382604.000,183450.000,0.786,3406465.000,13.200,247455.000,35.300
454047.000,245682.000,0.797,2748391.000,18.000,151563.000,27.900
79809.000,165941.000,0.789,650555.000,116.000,5625.000,34.400
158956.000,140027.000,0.771,1632934.000,12.000,123451.000,50.100
557382.000,144681.000,0.757,5486372.000,179.000,30608.000,44.500
196501.000,80303.000,0.716,3388768.000,53.000,63621.000,69.700
216423.000,108452.000,0.760,2665018.000,128.000,20846.000,52.800
850237.000,178806.000,0.789,7350682.000,94.000,78599.000,39.800
2254840.000,386135.000,0.834,8851080.000,5920.000,1485.000,28.900
1209424.000,104672.000,0.783,15175862.000,679.000,22357.000,45.300
318308.000,106538.000,0.745,4351037.000,74.000,58643.000,54.400
155936.000,119157.000,0.776,1777227.000,364.000,4893.000,45.500
87956.000,115724.000,0.779,1084979.000,39.000,27815.000,47.600
999407.000,285709.000,0.807,4653458.000,73.000,64220.000,23.200
208967.000,75799.000,0.708,3801962.000,41.000,93793.000,61.900
424856.000,108059.000,0.744,5779829.000,168.000,34290.000,64.500
292723.000,229945.000,0.788,1827937.000,156.000,11684.000,36.900
213670.000,199304.000,0.784,1325578.000,30.000,42361.000,38.800
257972.000,154930.000,0.760,2585518.000,42.000,60983.000,50.500
276520.000,152980.000,0.804,2767761.000,48.000,57377.000,36.300
397033.000,234200.000,0.804,2662480.000,13.000,179503.000,29.100
434948.000,196006.000,0.775,2238603.000,91.000,24738.000,49.700
413971.000,166052.000,0.792,3268554.000,41.000,80175.000,38.400
72689.000,90592.000,0.770,1169936.000,293.000,3991.000,57.900
675465.000,116586.000,0.744,7643194.000,106.000,71820.000,52.600
195471.000,138954.000,0.774,1818948.000,49.000,39612.000,48.900
126156.000,123742.000,0.764,1490668.000,20.000,75539.000,54.200
